ageband,year,pop,rate,ratelow,rateupp,deaths,people,percent
Total,1963,Total,12.76,11.37,14.14,326,2536840,0.000128506
00-04,1963,Total,0,0,0,0,307450,0
05-09,1963,Total,0,0,0,0,277150,0
10-14,1963,Total,0,0,0,0,251270,0
15-19,1963,Total,0.46,0,1.37,1,215780,4.63e-06
20-24,1963,Total,0.57,0,1.69,1,174960,5.72e-06
25-29,1963,Total,0,0,0,0,149070,0
30-34,1963,Total,0.64,0,1.9,1,155450,6.43e-06
35-39,1963,Total,2.49,0.05,4.93,4,160620,2.49e-05
40-44,1963,Total,5.22,1.6,8.84,8,153250,5.22e-05
45-49,1963,Total,7.79,3.19,12.39,11,141200,7.79e-05
50-54,1963,Total,14.3,7.87,20.74,19,132830,0.00014304
55-59,1963,Total,17.77,9.98,25.56,20,112520,0.000177746
60-64,1963,Total,46.44,32.56,60.32,43,92590,0.000464413
65-69,1963,Total,69.81,50.65,88.96,51,73060,0.000698056
70-74,1963,Total,103.34,77.19,129.49,60,58060,0.001033414
75-79,1963,Total,146.35,110.5,182.21,64,43730,0.001463526
80+,1963,Total,113.61,79.65,147.56,43,37850,0.001136063
Total,1964,Total,13.67,12.23,15.1,351,2589090,0.000135569
00-04,1964,Total,0,0,0,0,311020,0
05-09,1964,Total,0,0,0,0,284740,0
10-14,1964,Total,0,0,0,0,255480,0
15-19,1964,Total,0,0,0,0,229020,0
20-24,1964,Total,0,0,0,0,180160,0
25-29,1964,Total,0.65,0,1.93,1,153750,6.5e-06
30-34,1964,Total,3.89,0.78,7.01,6,154100,3.89e-05
35-39,1964,Total,1.86,0,3.97,3,161210,1.86e-05
40-44,1964,Total,2.54,0.05,5.03,4,157330,2.54e-05
45-49,1964,Total,11.4,5.82,16.99,16,140300,0.000114041
50-54,1964,Total,13.98,7.7,20.27,19,135860,0.00013985
55-59,1964,Total,27.63,18.06,37.2,32,115820,0.000276291
60-64,1964,Total,46.12,32.49,59.75,44,95400,0.000461216
65-69,1964,Total,65.92,47.46,84.38,49,74330,0.000659222
70-74,1964,Total,102.67,76.69,128.65,60,58440,0.001026694
75-79,1964,Total,130.64,96.73,164.56,57,43630,0.001306441
80+,1964,Total,155.84,116.41,195.28,60,38500,0.001558442
Total,1965,Total,13.56,12.14,14.97,353,2635320,0.00013395
00-04,1965,Total,0,0,0,0,310060,0
05-09,1965,Total,0,0,0,0,292570,0
10-14,1965,Total,0,0,0,0,261000,0
15-19,1965,Total,0,0,0,0,238450,0
20-24,1965,Total,0.54,0,1.6,1,185500,5.39e-06
25-29,1965,Total,1.87,0,3.99,3,160110,1.87e-05
30-34,1965,Total,2.64,0.05,5.22,4,151610,2.64e-05
35-39,1965,Total,4.32,1.12,7.51,7,162160,4.32e-05
40-44,1965,Total,4.39,1.14,7.64,7,159470,4.39e-05
45-49,1965,Total,9.86,4.69,15.02,14,142010,9.86e-05
50-54,1965,Total,11.64,5.94,17.35,16,137420,0.000116431
55-59,1965,Total,27.74,18.27,37.2,33,118970,0.000277381
60-64,1965,Total,47.12,33.5,60.74,46,97620,0.000471215
65-69,1965,Total,57.32,40.38,74.26,44,76760,0.000573215
70-74,1965,Total,95.51,70.5,120.53,56,58630,0.000955142
75-79,1965,Total,132.25,97.92,166.58,57,43100,0.001322506
80+,1965,Total,162.99,123.37,202.61,65,39880,0.00162989
Total,1966,Total,12.57,11.22,13.91,336,2682600,0.000125252
00-04,1966,Total,0,0,0,0,305750,0
05-09,1966,Total,0,0,0,0,301320,0
10-14,1966,Total,0,0,0,0,267600,0
15-19,1966,Total,0,0,0,0,244390,0
20-24,1966,Total,0,0,0,0,193050,0
25-29,1966,Total,0,0,0,0,168820,0
30-34,1966,Total,0.67,0,1.98,1,149870,6.67e-06
35-39,1966,Total,2.15,0,4.41,4,162520,2.15e-05
40-44,1966,Total,2.8,0.21,5.39,4,160570,2.8e-05
45-49,1966,Total,5.16,1.47,8.85,8,145460,5.16e-05
50-54,1966,Total,19.14,11.85,26.43,26,138440,0.000191419
55-59,1966,Total,22.92,14.43,31.41,28,122170,0.000229189
60-64,1966,Total,49.08,35.34,62.82,49,99840,0.000490785
65-69,1966,Total,51.37,35.64,67.09,41,79820,0.000513656
70-74,1966,Total,76.87,54.41,99.33,45,58540,0.000768705
75-79,1966,Total,113.4,81.65,145.15,49,43210,0.001133997
80+,1966,Total,196.46,153.67,239.24,81,41230,0.001964589
Total,1967,Total,12.49,11.16,13.81,340,2727630,0.00012465
00-04,1967,Total,0,0,0,0,301210,0
05-09,1967,Total,0,0,0,0,309560,0
10-14,1967,Total,0,0,0,0,274640,0
15-19,1967,Total,0,0,0,0,247980,0
20-24,1967,Total,0,0,0,0,202600,0
25-29,1967,Total,0,0,0,0,175600,0
30-34,1967,Total,0.66,0,1.96,1,150650,6.64e-06
35-39,1967,Total,1.25,0,2.97,2,160440,1.25e-05
40-44,1967,Total,3.08,0.38,5.78,5,162370,3.08e-05
45-49,1967,Total,7.42,3.03,11.8,11,148330,7.42e-05
50-54,1967,Total,15.06,8.62,21.5,21,139470,0.00015057
55-59,1967,Total,25.65,16.76,34.54,32,124740,0.000256534
60-64,1967,Total,57.3,42.68,71.92,59,102970,0.000572982
65-69,1967,Total,52.24,36.62,67.85,43,82320,0.000522352
70-74,1967,Total,96.04,71.11,120.97,57,59350,0.000960404
75-79,1967,Total,110.29,79.09,141.5,48,43520,0.001102941
80+,1967,Total,145.65,109.1,182.21,61,41880,0.001456543
Total,1968,Total,12.71,11.38,14.04,350,2753500,0.000127111
00-04,1968,Total,0,0,0,0,296830,0
05-09,1968,Total,0,0,0,0,313460,0
10-14,1968,Total,0,0,0,0,280960,0
15-19,1968,Total,0.4,0,1.18,1,249940,4e-06
20-24,1968,Total,0,0,0,0,210370,0
25-29,1968,Total,0.56,0,1.67,1,177690,5.63e-06
30-34,1968,Total,1.32,0,3.15,2,151700,1.32e-05
35-39,1968,Total,1.91,0,4.07,3,157130,1.91e-05
40-44,1968,Total,4.93,1.52,8.35,8,162130,4.93e-05
45-49,1968,Total,6.6,2.51,10.7,10,151450,6.6e-05
50-54,1968,Total,17.36,10.42,24.31,24,138230,0.000173624
55-59,1968,Total,25.97,17.11,34.83,33,127070,0.000259699
60-64,1968,Total,44.34,31.66,57.01,47,106010,0.000443354
65-69,1968,Total,55.58,39.69,71.46,47,84570,0.000555753
70-74,1968,Total,79.62,57.09,102.14,48,60290,0.000796152
75-79,1968,Total,142.73,107.2,178.25,62,43440,0.001427256
80+,1968,Total,151.55,114.42,188.68,64,42230,0.00151551
Total,1969,Total,12.66,11.33,13.99,351,2780040,0.000126257
00-04,1969,Total,0,0,0,0,295640,0
05-09,1969,Total,0,0,0,0,312860,0
10-14,1969,Total,0,0,0,0,287270,0
15-19,1969,Total,0.39,0,1.17,1,253710,3.94e-06
20-24,1969,Total,0,0,0,0,217820,0
25-29,1969,Total,0.56,0,1.64,1,179940,5.56e-06
30-34,1969,Total,1.94,0,4.14,3,154390,1.94e-05
35-39,1969,Total,3.25,0.4,6.1,5,153690,3.25e-05
40-44,1969,Total,4.34,1.13,7.56,7,161180,4.34e-05
45-49,1969,Total,11,5.77,16.23,17,154560,0.00010999
50-54,1969,Total,17.5,10.5,24.5,24,137150,0.000174991
55-59,1969,Total,22.43,14.26,30.59,29,129310,0.000224267
60-64,1969,Total,42.23,30.03,54.44,46,108920,0.000422328
65-69,1969,Total,61.37,44.85,77.89,53,86360,0.00061371
70-74,1969,Total,80.92,58.49,103.35,50,61790,0.000809192
75-79,1969,Total,139.37,104.11,174.64,60,43050,0.001393728
80+,1969,Total,129.72,95.43,164,55,42400,0.00129717
Total,1970,Total,13.05,11.72,14.39,368,2819630,0.000130514
00-04,1970,Total,0,0,0,0,297830,0
05-09,1970,Total,0,0,0,0,308880,0
10-14,1970,Total,0,0,0,0,293990,0
15-19,1970,Total,0,0,0,0,260040,0
20-24,1970,Total,0,0,0,0,227080,0
25-29,1970,Total,0,0,0,0,183060,0
30-34,1970,Total,1.24,0,2.97,2,160650,1.24e-05
35-39,1970,Total,2.65,0.05,5.25,4,150750,2.65e-05
40-44,1970,Total,9.92,5.06,14.77,16,161360,9.92e-05
45-49,1970,Total,7.67,3.33,12.01,12,156450,7.67e-05
50-54,1970,Total,14.42,8.1,20.74,20,138680,0.000144217
55-59,1970,Total,29.02,19.79,38.25,38,130940,0.000290209
60-64,1970,Total,32.17,21.66,42.68,36,111890,0.000321745
65-69,1970,Total,71.79,54.07,89.52,63,87750,0.000717949
70-74,1970,Total,93.05,69.51,116.6,60,64480,0.000930521
75-79,1970,Total,120.87,88.02,153.73,52,43020,0.00120874
80+,1970,Total,151.94,115,188.88,65,42780,0.001519402
Total,1971,Total,11.42,10.18,12.66,328,2864200,0.000114517
00-04,1971,Total,0,0,0,0,299570,0
05-09,1971,Total,0,0,0,0,305450,0
10-14,1971,Total,0,0,0,0,302170,0
15-19,1971,Total,0,0,0,0,264480,0
20-24,1971,Total,0.85,0,2.04,2,234060,8.54e-06
25-29,1971,Total,1.58,0,3.38,3,189460,1.58e-05
30-34,1971,Total,2.37,0.05,4.68,4,169130,2.37e-05
35-39,1971,Total,2,0,4.27,3,149930,2e-05
40-44,1971,Total,3.73,0.74,6.71,6,161040,3.73e-05
45-49,1971,Total,10.17,5.18,15.15,16,157390,0.000101658
50-54,1971,Total,12.03,6.31,17.74,17,141350,0.000120269
55-59,1971,Total,21.96,13.97,29.95,29,132050,0.000219614
60-64,1971,Total,33.25,22.68,43.82,38,114280,0.000332517
65-69,1971,Total,55.35,40.01,70.7,50,90330,0.000553526
70-74,1971,Total,88.7,66.06,111.33,59,66520,0.000886951
75-79,1971,Total,91.98,63.47,120.48,40,43490,0.000919752
80+,1971,Total,140.23,105.04,175.42,61,43500,0.001402299
Total,1972,Total,13.54,12.2,14.88,397,2915690,0.00013616
00-04,1972,Total,0,0,0,0,302290,0
05-09,1972,Total,0,0,0,0,303020,0
10-14,1972,Total,0,0,0,0,310640,0
15-19,1972,Total,0.37,0,1.1,1,269540,3.71e-06
20-24,1972,Total,0,0,0,0,238260,0
25-29,1972,Total,1.49,0,3.17,3,201570,1.49e-05
30-34,1972,Total,2.82,0.35,5.29,5,177440,2.82e-05
35-39,1972,Total,3.97,0.79,7.14,6,151210,3.97e-05
40-44,1972,Total,3.12,0.39,5.86,5,160010,3.12e-05
45-49,1972,Total,8.23,3.75,12.7,13,158020,8.23e-05
50-54,1972,Total,13.13,7.23,19.04,19,144680,0.000131324
55-59,1972,Total,28.76,19.62,37.91,38,132120,0.000287617
60-64,1972,Total,42.75,30.9,54.6,50,116950,0.000427533
65-69,1972,Total,67.34,50.71,83.96,63,93560,0.000673365
70-74,1972,Total,95.14,72.01,118.27,65,68320,0.000951405
75-79,1972,Total,106.89,76.33,137.45,47,43970,0.001068911
80+,1972,Total,185.98,145.73,226.24,82,44090,0.001859832
Total,1973,Total,14.04,12.69,15.39,420,2976920,0.000141085
00-04,1973,Total,0,0,0,0,305720,0
05-09,1973,Total,0,0,0,0,301200,0
10-14,1973,Total,0,0,0,0,316880,0
15-19,1973,Total,0,0,0,0,278990,0
20-24,1973,Total,0,0,0,0,242940,0
25-29,1973,Total,0.92,0,2.2,2,216550,9.24e-06
30-34,1973,Total,3.78,0.98,6.58,7,185320,3.78e-05
35-39,1973,Total,3.23,0.4,6.07,5,154650,3.23e-05
40-44,1973,Total,5.67,1.97,9.38,9,158630,5.67e-05
45-49,1973,Total,4.4,1.14,7.66,7,158980,4.4e-05
50-54,1973,Total,15.43,9.12,21.73,23,149100,0.000154259
55-59,1973,Total,19.75,12.16,27.34,26,131630,0.000197523
60-64,1973,Total,44.22,32.31,56.12,53,119860,0.000442183
65-69,1973,Total,68.31,51.83,84.79,66,96620,0.000683088
70-74,1973,Total,102.99,79.36,126.62,73,70880,0.00102991
75-79,1973,Total,142.63,107.69,177.58,64,44870,0.001426343
80+,1973,Total,192.74,151.77,233.72,85,44100,0.001927438
Total,1974,Total,13.52,12.21,14.83,413,3041750,0.000135777
00-04,1974,Total,0,0,0,0,306550,0
05-09,1974,Total,0,0,0,0,302750,0
10-14,1974,Total,0,0,0,0,320500,0
15-19,1974,Total,0,0,0,0,289040,0
20-24,1974,Total,0.4,0,1.19,1,249640,4.01e-06
25-29,1974,Total,0,0,0,0,231490,0
30-34,1974,Total,1.03,0,2.47,2,193580,1.03e-05
35-39,1974,Total,1.87,0,3.99,3,160470,1.87e-05
40-44,1974,Total,6.33,2.41,10.25,10,158030,6.33e-05
45-49,1974,Total,7.52,3.27,11.78,12,159510,7.52e-05
50-54,1974,Total,11.7,6.29,17.1,18,153880,0.000116974
55-59,1974,Total,22.16,14.1,30.23,29,130840,0.000221645
60-64,1974,Total,34.25,23.89,44.61,42,122630,0.000342494
65-69,1974,Total,65.52,49.59,81.45,65,99200,0.000655242
70-74,1974,Total,99.59,76.74,122.44,73,73300,0.000995907
75-79,1974,Total,173.69,135.63,211.75,80,46060,0.001736865
80+,1974,Total,176.15,137.06,215.24,78,44280,0.001761518
Total,1975,Total,12.24,11.01,13.47,385,3100110,0.000124189
00-04,1975,Total,0,0,0,0,302710,0
05-09,1975,Total,0,0,0,0,307900,0
10-14,1975,Total,0,0,0,0,321280,0
15-19,1975,Total,0,0,0,0,295590,0
20-24,1975,Total,0.39,0,1.15,1,257710,3.88e-06
25-29,1975,Total,0.82,0,1.95,2,244100,8.19e-06
30-34,1975,Total,2.52,0.31,4.72,5,198720,2.52e-05
35-39,1975,Total,2.36,0.05,4.68,4,169350,2.36e-05
40-44,1975,Total,2.57,0.05,5.08,4,155930,2.57e-05
45-49,1975,Total,7.47,3.24,11.69,12,160750,7.47e-05
50-54,1975,Total,11.53,6.21,16.86,18,156060,0.00011534
55-59,1975,Total,23.29,15.09,31.48,31,133120,0.000232873
60-64,1975,Total,41.47,30.2,52.74,52,125400,0.000414673
65-69,1975,Total,57.26,42.65,71.87,59,103040,0.000572593
70-74,1975,Total,94.74,72.7,116.78,71,74940,0.000947425
75-79,1975,Total,106.23,77.07,135.38,51,48010,0.001062279
80+,1975,Total,164.84,127.53,202.14,75,45500,0.001648352
Total,1976,Total,14.18,12.87,15.5,451,3131800,0.000144007
00-04,1976,Total,0,0,0,0,294340,0
05-09,1976,Total,0,0,0,0,314000,0
10-14,1976,Total,0,0,0,0,319490,0
15-19,1976,Total,0.66,0,1.57,2,303770,6.58e-06
20-24,1976,Total,0,0,0,0,259720,0
25-29,1976,Total,0,0,0,0,247950,0
30-34,1976,Total,1.48,0,3.15,3,202730,1.48e-05
35-39,1976,Total,4.47,1.37,7.57,8,179020,4.47e-05
40-44,1976,Total,5.86,2.03,9.7,9,153480,5.86e-05
45-49,1976,Total,9.93,5.07,14.8,16,161070,9.93e-05
50-54,1976,Total,16.74,10.31,23.18,26,155290,0.000167429
55-59,1976,Total,30.09,20.88,39.3,41,136260,0.000300895
60-64,1976,Total,31.81,21.95,41.67,40,125730,0.000318142
65-69,1976,Total,59.59,44.88,74.31,63,105720,0.000595914
70-74,1976,Total,105.21,82.15,128.26,80,76040,0.001052078
75-79,1976,Total,139.83,107.07,172.59,70,50060,0.001398322
80+,1976,Total,197.49,157.35,237.63,93,47090,0.001974942
Total,1977,Total,11.9,10.71,13.08,390,3142600,0.000124101
00-04,1977,Total,0,0,0,0,283280,0
05-09,1977,Total,0,0,0,0,315410,0
10-14,1977,Total,0,0,0,0,312850,0
15-19,1977,Total,0,0,0,0,311620,0
20-24,1977,Total,0,0,0,0,259460,0
25-29,1977,Total,0,0,0,0,245890,0
30-34,1977,Total,0.47,0,1.4,1,211020,4.74e-06
35-39,1977,Total,1.08,0,2.59,2,184560,1.08e-05
40-44,1977,Total,1.95,0,4.15,3,154130,1.95e-05
45-49,1977,Total,10.74,5.64,15.85,17,158250,0.000107425
50-54,1977,Total,5.76,2,9.52,9,156310,5.76e-05
55-59,1977,Total,20.95,13.32,28.57,29,138440,0.000209477
60-64,1977,Total,39.01,28.08,49.93,49,125620,0.000390065
65-69,1977,Total,54.8,40.81,68.78,59,107670,0.000547971
70-74,1977,Total,96.54,74.84,118.25,76,78720,0.000965447
75-79,1977,Total,98.88,71.74,126.01,51,51580,0.000988755
80+,1977,Total,197.02,157.19,236.85,94,47710,0.001970237
Total,1978,Total,11.65,10.48,12.82,386,3143500,0.000122793
00-04,1978,Total,0,0,0,0,271630,0
05-09,1978,Total,0,0,0,0,312640,0
10-14,1978,Total,0,0,0,0,306950,0
15-19,1978,Total,0,0,0,0,316290,0
20-24,1978,Total,0,0,0,0,260870,0
25-29,1978,Total,0,0,0,0,241460,0
30-34,1978,Total,0.9,0,2.16,2,221100,9.05e-06
35-39,1978,Total,2.14,0.04,4.23,4,187100,2.14e-05
40-44,1978,Total,5.12,1.57,8.67,8,156130,5.12e-05
45-49,1978,Total,9.03,4.3,13.77,14,154980,9.03e-05
50-54,1978,Total,11.45,6.16,16.74,18,157190,0.000114511
55-59,1978,Total,19.81,12.47,27.14,28,141360,0.000198076
60-64,1978,Total,44.49,32.73,56.25,55,123620,0.000444912
65-69,1978,Total,59.5,45.03,73.96,65,109250,0.000594966
70-74,1978,Total,76.38,57.37,95.4,62,81170,0.000763829
75-79,1978,Total,118.15,88.98,147.33,63,53320,0.001181545
80+,1978,Total,138.32,105.2,171.44,67,48440,0.001383154
Total,1979,Total,11.28,10.14,12.42,381,3137800,0.000121423
00-04,1979,Total,0,0,0,0,262210,0
05-09,1979,Total,0,0,0,0,305660,0
10-14,1979,Total,0,0,0,0,303770,0
15-19,1979,Total,0,0,0,0,316200,0
20-24,1979,Total,0.38,0,1.13,1,262120,3.82e-06
25-29,1979,Total,0,0,0,0,237630,0
30-34,1979,Total,0.44,0,1.29,1,229640,4.35e-06
35-39,1979,Total,3.72,0.96,6.48,7,188040,3.72e-05
40-44,1979,Total,6.28,2.39,10.18,10,159130,6.28e-05
45-49,1979,Total,5.27,1.62,8.93,8,151710,5.27e-05
50-54,1979,Total,11.46,6.16,16.75,18,157130,0.000114555
55-59,1979,Total,18.83,11.73,25.94,27,143370,0.000188324
60-64,1979,Total,33.61,23.32,43.9,41,121990,0.000336093
65-69,1979,Total,50.72,37.43,64,56,110420,0.000507155
70-74,1979,Total,75.38,56.76,93.99,63,83580,0.000753769
75-79,1979,Total,148.09,116.04,180.15,82,55370,0.001480946
80+,1979,Total,134.62,102.38,166.85,67,49770,0.001346192
Total,1980,Total,12.13,10.95,13.31,416,3144000,0.000132316
00-04,1980,Total,0,0,0,0,256630,0
05-09,1980,Total,0,0,0,0,295140,0
10-14,1980,Total,0,0,0,0,302820,0
15-19,1980,Total,0.32,0,0.94,1,314970,3.17e-06
20-24,1980,Total,0,0,0,0,267650,0
25-29,1980,Total,0.42,0,1.25,1,237230,4.22e-06
30-34,1980,Total,1.69,0.03,3.35,4,236280,1.69e-05
35-39,1980,Total,2.1,0.04,4.15,4,190670,2.1e-05
40-44,1980,Total,4.24,1.1,7.38,7,165190,4.24e-05
45-49,1980,Total,12.83,7.06,18.59,19,148140,0.000128257
50-54,1980,Total,12.76,7.17,18.35,20,156750,0.000127592
55-59,1980,Total,22.76,15,30.53,33,144980,0.000227618
60-64,1980,Total,37.51,26.67,48.35,46,122630,0.000375112
65-69,1980,Total,77.53,61.14,93.91,86,110930,0.000775264
70-74,1980,Total,89.25,69.32,109.19,77,86270,0.000892547
75-79,1980,Total,111.64,84.07,139.21,63,56430,0.001116427
80+,1980,Total,107.48,79.08,135.89,55,51170,0.001074849
Total,1981,Total,12.45,11.27,13.63,435,3156700,0.000137802
00-04,1981,Total,0,0,0,0,251150,0
05-09,1981,Total,0,0,0,0,286410,0
10-14,1981,Total,0,0,0,0,305450,0
15-19,1981,Total,0.33,0,0.97,1,306220,3.27e-06
20-24,1981,Total,0,0,0,0,273010,0
25-29,1981,Total,0.41,0,1.22,1,242090,4.13e-06
30-34,1981,Total,1.25,0,2.67,3,239060,1.25e-05
35-39,1981,Total,4.11,1.26,6.95,8,194770,4.11e-05
40-44,1981,Total,1.75,0,3.73,3,171440,1.75e-05
45-49,1981,Total,12.2,6.56,17.83,18,147570,0.000121976
50-54,1981,Total,13.01,7.31,18.71,20,153780,0.000130056
55-59,1981,Total,21.82,14.26,29.39,32,146630,0.000218236
60-64,1981,Total,40.98,29.84,52.11,52,126900,0.000409771
65-69,1981,Total,59.42,45.19,73.65,67,112760,0.000594182
70-74,1981,Total,83.38,64.25,102.51,73,87550,0.000833809
75-79,1981,Total,115.54,87.87,143.2,67,57990,0.001155372
80+,1981,Total,166.88,132.4,201.36,90,53930,0.00166883
Total,1982,Total,12.36,11.2,13.52,442,3180800,0.000138959
00-04,1982,Total,0,0,0,0,248810,0
05-09,1982,Total,0,0,0,0,276470,0
10-14,1982,Total,0,0,0,0,307130,0
15-19,1982,Total,0,0,0,0,301620,0
20-24,1982,Total,0,0,0,0,281510,0
25-29,1982,Total,1.21,0,2.59,3,247200,1.21e-05
30-34,1982,Total,2.09,0.26,3.91,5,239760,2.09e-05
35-39,1982,Total,2.43,0.3,4.57,5,205430,2.43e-05
40-44,1982,Total,6.21,2.54,9.88,11,177170,6.21e-05
45-49,1982,Total,8.1,3.52,12.69,12,148060,8.1e-05
50-54,1982,Total,14.53,8.46,20.6,22,151420,0.000145291
55-59,1982,Total,19.68,12.52,26.84,29,147370,0.000196784
60-64,1982,Total,35.49,25.23,45.75,46,129610,0.000354911
65-69,1982,Total,54.52,40.95,68.09,62,113720,0.000545199
70-74,1982,Total,93.84,73.78,113.91,84,89510,0.000938443
75-79,1982,Total,108.39,82.04,134.74,65,59970,0.001083875
80+,1982,Total,175.25,140.55,209.95,98,55920,0.001752504
Total,1983,Total,10.82,9.73,11.9,389,3221700,0.000120744
00-04,1983,Total,0,0,0,0,250130,0
05-09,1983,Total,0,0,0,0,267330,0
10-14,1983,Total,0,0,0,0,307760,0
15-19,1983,Total,0,0,0,0,299800,0
20-24,1983,Total,0.34,0,1.01,1,291830,3.43e-06
25-29,1983,Total,0.78,0,1.87,2,255510,7.83e-06
30-34,1983,Total,2.06,0.25,3.87,5,242420,2.06e-05
35-39,1983,Total,2.73,0.55,4.92,6,219420,2.73e-05
40-44,1983,Total,4.39,1.35,7.44,8,182130,4.39e-05
45-49,1983,Total,8.62,3.93,13.31,13,150810,8.62e-05
50-54,1983,Total,16,9.6,22.41,24,149970,0.000160032
55-59,1983,Total,23.83,15.94,31.73,35,146860,0.000238322
60-64,1983,Total,38.17,27.7,48.65,51,133600,0.000381737
65-69,1983,Total,41.73,29.8,53.66,47,112630,0.000417296
70-74,1983,Total,72.04,54.66,89.42,66,91620,0.000720367
75-79,1983,Total,90.1,66.5,113.7,56,62150,0.000901046
80+,1983,Total,129.98,100.56,159.4,75,57700,0.001299827
Total,1984,Total,9.85,8.84,10.87,367,3252800,0.000112826
00-04,1984,Total,0,0,0,0,251430,0
05-09,1984,Total,0,0,0,0,260360,0
10-14,1984,Total,0,0,0,0,304910,0
15-19,1984,Total,0,0,0,0,300730,0
20-24,1984,Total,0,0,0,0,296000,0
25-29,1984,Total,0,0,0,0,261640,0
30-34,1984,Total,0.41,0,1.21,1,244560,4.09e-06
35-39,1984,Total,3.03,0.78,5.27,7,231360,3.03e-05
40-44,1984,Total,4.83,1.67,7.99,9,186280,4.83e-05
45-49,1984,Total,4.51,1.17,7.85,7,155320,4.51e-05
50-54,1984,Total,12.91,7.1,18.71,19,147200,0.000129076
55-59,1984,Total,20.47,13.15,27.8,30,146530,0.000204736
60-64,1984,Total,26.26,17.68,34.84,36,137070,0.00026264
65-69,1984,Total,50.21,37.06,63.36,56,111530,0.000502107
70-74,1984,Total,59.9,44.21,75.59,56,93490,0.000598995
75-79,1984,Total,110.42,84.74,136.1,71,64300,0.001104199
80+,1984,Total,125.08,96.77,153.39,75,59960,0.001250834
Total,1985,Total,11.98,10.87,13.09,456,3271500,0.000139386
00-04,1985,Total,0,0,0,0,251970,0
05-09,1985,Total,0,0,0,0,255500,0
10-14,1985,Total,0,0,0,0,298280,0
15-19,1985,Total,0,0,0,0,303370,0
20-24,1985,Total,0,0,0,0,292370,0
25-29,1985,Total,0.75,0,1.8,2,265830,7.52e-06
30-34,1985,Total,2.42,0.48,4.36,6,247580,2.42e-05
35-39,1985,Total,1.26,0,2.69,3,237550,1.26e-05
40-44,1985,Total,5.26,2,8.52,10,190040,5.26e-05
45-49,1985,Total,6.19,2.35,10.03,10,161560,6.19e-05
50-54,1985,Total,15.16,8.82,21.49,22,145140,0.000151578
55-59,1985,Total,19.02,11.98,26.07,28,147210,0.000190204
60-64,1985,Total,35.87,25.92,45.81,50,139410,0.000358654
65-69,1985,Total,63.32,48.59,78.05,71,112130,0.000633194
70-74,1985,Total,84.92,66.43,103.42,81,95380,0.000849235
75-79,1985,Total,109.16,83.94,134.37,72,65960,0.001091571
80+,1985,Total,162.3,130.65,193.95,101,62230,0.001623011
Total,1986,Total,9.45,8.48,10.42,371,3277000,0.000113213
00-04,1986,Total,0,0,0,0,251280,0
05-09,1986,Total,0,0,0,0,253380,0
10-14,1986,Total,0,0,0,0,288830,0
15-19,1986,Total,0,0,0,0,301500,0
20-24,1986,Total,0,0,0,0,281560,0
25-29,1986,Total,0.74,0,1.76,2,270870,7.38e-06
30-34,1986,Total,2.01,0.25,3.76,5,249350,2.01e-05
35-39,1986,Total,4.56,1.87,7.26,11,241210,4.56e-05
40-44,1986,Total,4.1,1.26,6.93,8,195330,4.1e-05
45-49,1986,Total,1.78,0,3.79,3,168600,1.78e-05
50-54,1986,Total,10.37,5.12,15.62,15,144630,0.000103713
55-59,1986,Total,13.51,7.59,19.43,20,148050,0.000135089
60-64,1986,Total,31.77,22.38,41.16,44,138500,0.00031769
65-69,1986,Total,41.03,29.3,52.77,47,114540,0.000410337
70-74,1986,Total,63.61,47.65,79.57,61,95900,0.000636079
75-79,1986,Total,110.31,85.34,135.28,75,67990,0.001103103
80+,1986,Total,122.32,95.52,149.13,80,65400,0.001223242
Total,1987,Total,9.86,8.87,10.85,391,3303600,0.000118356
00-04,1987,Total,0,0,0,0,256740,0
05-09,1987,Total,0,0,0,0,251190,0
10-14,1987,Total,0,0,0,0,277510,0
15-19,1987,Total,0.66,0,1.57,2,304430,6.57e-06
20-24,1987,Total,0.36,0,1.07,1,277550,3.6e-06
25-29,1987,Total,0.72,0,1.72,2,277930,7.2e-06
30-34,1987,Total,1.18,0,2.51,3,254720,1.18e-05
35-39,1987,Total,2.07,0.26,3.88,5,241650,2.07e-05
40-44,1987,Total,3.43,0.89,5.96,7,204330,3.43e-05
45-49,1987,Total,5.15,1.78,8.51,9,174790,5.15e-05
50-54,1987,Total,8.22,3.57,12.87,12,146020,8.22e-05
55-59,1987,Total,23.85,15.95,31.76,35,146720,0.00023855
60-64,1987,Total,30.15,21.03,39.27,42,139310,0.000301486
65-69,1987,Total,47.18,34.71,59.65,55,116570,0.00047182
70-74,1987,Total,63.21,47.34,79.07,61,96510,0.000632059
75-79,1987,Total,98.59,75.32,121.85,69,69990,0.000985855
80+,1987,Total,130.04,102.87,157.21,88,67670,0.001300429
Total,1988,Total,9.6,8.62,10.57,385,3317000,0.000116069
00-04,1988,Total,0,0,0,0,262040,0
05-09,1988,Total,0,0,0,0,249670,0
10-14,1988,Total,0,0,0,0,265500,0
15-19,1988,Total,0,0,0,0,303510,0
20-24,1988,Total,0.73,0,1.74,2,273810,7.3e-06
25-29,1988,Total,0.71,0,1.69,2,282440,7.08e-06
30-34,1988,Total,1.16,0,2.46,3,259470,1.16e-05
35-39,1988,Total,3.34,1.02,5.65,8,239700,3.34e-05
40-44,1988,Total,1.42,0,3.02,3,211760,1.42e-05
45-49,1988,Total,7.21,3.29,11.12,13,180400,7.21e-05
